date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:01:32	61981/61981	---MCZ	200	added ('OK')	text/html	date:Mon,%2026%20Mar%202018%2010:01:31%20GMT	http://www.google.de/shopping?hl=de&tab=ff	/home/benjamin/websites/google/www.google.de/shoppingdf29.html	(from http://www.google.de/shopping?hl=de&tab=wf)
12:01:32	39291/39291	---M-Z	200	added ('OK')	text/html	date:Mon,%2026%20Mar%202018%2010:01:32%20GMT	http://www.google.de/webhp?hl=de&tbo=u&tbm=vid&source=og&tab=fv	/home/benjamin/websites/google/www.google.de/webhp2bff.html	(from http://www.google.de/shopping?hl=de&tab=wf)
12:01:33	39201/39201	---M-Z	200	added ('OK')	text/html	date:Mon,%2026%20Mar%202018%2010:01:32%20GMT	http://www.google.de/webhp?hl=de	/home/benjamin/websites/google/www.google.de/webhp0016.html	(from http://www.google.de/shopping?hl=de&tab=wf)
12:01:34	6724/6724	---MCZ	403	error ('Forbidden')	text/html	date:Mon,%2026%20Mar%202018%2010:01:34%20GMT	https://www.google.de/search?tbm=shop&q=apple+iphone+x&source=pshome-c-0-0&sa=X&ved=0ahUKEwjpws3X3YnaAhVJ_qQKHT_TA0wQ7j8IBQ	/home/benjamin/websites/google/www.google.de/search.21e89f.delayed	(from http://www.google.de/shopping?hl=de&tab=wf)
12:01:35	6724/6724	---MCZ	403	error ('Forbidden')	text/html	date:Mon,%2026%20Mar%202018%2010:01:35%20GMT	https://www.google.de/search?tbm=shop&q=apple+iphone+x&source=pshome-c-0-0&sa=X&ved=0ahUKEwjpws3X3YnaAhVJ_qQKHT_TA0wQ8D8IBg	/home/benjamin/websites/google/www.google.de/search.225192.delayed	(from http://www.google.de/shopping?hl=de&tab=wf)
12:01:36	6734/6734	---MCZ	403	error ('Forbidden')	text/html	date:Mon,%2026%20Mar%202018%2010:01:36%20GMT	https://www.google.de/search?tbm=shop&q=google+home+mini&source=pshome-c-0-1&sa=X&ved=0ahUKEwjpws3X3YnaAhVJ_qQKHT_TA0wQ7j8ICA	/home/benjamin/websites/google/www.google.de/search.239f8b.delayed	(from http://www.google.de/shopping?hl=de&tab=wf)
12:01:37	6726/6726	---MCZ	403	error ('Forbidden')	text/html	date:Mon,%2026%20Mar%202018%2010:01:37%20GMT	https://www.google.de/search?tbm=shop&q=google+home+mini&source=pshome-c-0-1&sa=X&ved=0ahUKEwjpws3X3YnaAhVJ_qQKHT_TA0wQ8D8ICQ	/home/benjamin/websites/google/www.google.de/search.2453f4.delayed	(from http://www.google.de/shopping?hl=de&tab=wf)
12:01:39	6738/6738	---MCZ	403	error ('Forbidden')	text/html	date:Mon,%2026%20Mar%202018%2010:01:39%20GMT	https://www.google.de/search?tbm=shop&q=microsoft+xbox+one+x&source=pshome-c-0-2&sa=X&ved=0ahUKEwjpws3X3YnaAhVJ_qQKHT_TA0wQ7j8ICw	/home/benjamin/websites/google/www.google.de/search.256411.delayed	(from http://www.google.de/shopping?hl=de&tab=wf)
12:01:40	6738/6738	---MCZ	403	error ('Forbidden')	text/html	date:Mon,%2026%20Mar%202018%2010:01:40%20GMT	https://www.google.de/search?tbm=shop&q=microsoft+xbox+one+x&source=pshome-c-0-2&sa=X&ved=0ahUKEwjpws3X3YnaAhVJ_qQKHT_TA0wQ8D8IDA	/home/benjamin/websites/google/www.google.de/search.26d217.delayed	(from http://www.google.de/shopping?hl=de&tab=wf)
12:01:41	6767/6767	---MCZ	403	error ('Forbidden')	text/html	date:Mon,%2026%20Mar%202018%2010:01:41%20GMT	https://www.google.de/search?hl=de&q=Samsung+Galaxy+S8&spd=0&tbm=shop&source=pshome-c-0-3&sa=X&ved=0ahUKEwjpws3X3YnaAhVJ_qQKHT_TA0wQ7j8IDg	/home/benjamin/websites/google/www.google.de/search.275b15.delayed	(from http://www.google.de/shopping?hl=de&tab=wf)
